,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
4292,716308,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DRIVE,GASTONIA,NC,28054,GASTON,16740,1,1,2,07/01/2019,06/30/2020,2619.69,16411,103221,393,143838,4094,22211,11585,87882,4094,22211,22656089,73332856,39837996,40735389,170019826,429186141,974071284,1034200301,2008271585,59222328,,170019826,9208525,1633795,.1096,974071283,1034213400,2008284683,1506827909,501456774,462882145,38574629,15256283,53830912,-987210,54818122,.209707
4457,717147,344016,BRYNN MARR HOSPITAL,192 VILLAGE DRIVE,JACKSONVILLE,NC,28546,ONSLOW,27340,1,4,4,07/01/2019,06/30/2020,155.15,1047,24443,84,30744,74,1980,1047,24443,74,1980,,,,,8295194,13483372,48215750,,48215750,,,,,,,48215750,,48215750,28960427,19255323,14884799,4370524,411410,4781934,,4781934,
4461,717199,340127,GRANVILLE MEDICAL CENTER,1010 COLLEGE STREET,OXFORD,NC,27565-,GRANVILLE,99934,1,1,9,10/01/2018,09/30/2019,416.98,1089,6313,42,15330,596,1857,627,4959,596,1857,897318,14915290,5645587,7085524,29061844,48876528,41734699,111717771,153452470,5230254,412234,29061844,592629,139251,.12,43087684,131905115,174992799,113140802,61851997,67187852,-5335855,5651937,316082,,316082,.312442
4494,717582,341311,CHATHAM HOSPITAL  INC,475 PROGRESS BLVD,SILER CITY,NC,27344,CHATHAM,20500,2,1,2,07/01/2019,06/30/2020,175,183,4840,25,9150,77,693,154,1365,77,693,1171713,5605147,3434271,3715466,9634761,23965998,16131918,56519644,72651562,,,,,,,17433310,69757595,87190905,53702765,33488140,37220008,-3731868,4764898,1033030,2729642,-1696612,.322174
4512,717693,342021,CONTINUECARE HOSPITAL AT UNIVERSITY,8800 NORTH TRYON STREET  4TH FLOOR,CHARLOTTE,NC,28262-3300,MECKLENBURG,16740,1,2,2,07/01/2019,06/30/2020,53.24,,5495,26,9534,,170,,5495,,170,,,,,4067924,8109144,34148905,,34148905,,,,,,,34148905,,34148905,24570383,9578522,9382192,196330,253842,450172,-2,450174,
4645,718724,341314,CAH #1 - WASHINGTON,958 US HIGHWAY 64 EAST,PLYMOUTH,NC,27962,WASHINGTON,99934,2,1,4,10/01/2018,09/30/2019,50.56,33,413,33,7250,12,111,33,334,12,111,201414,1136250,847987,1464907,3343714,7050202,1601949,11350849,12952798,,,,,,,1601949,13980385,15582334,10020748,5561586,8164867,-2603281,19329,-2583952,,-2583952,.532562
4715,719157,344025,BROUGHTON HOSPITAL,1000 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,1,4,10,07/01/2019,06/30/2020,1438.5,6425,88859,431,157315,39,259,6425,88859,39,259,,,,,72175420,119764903,133209533,,133209533,27149452,,72175420,,,,74534437,,74534437,,74534437,184742840,-110208403,110208404,1,,1,
4909,721426,342015,CAROLINAS CONTINUECARE PINEVILLE,10648 PARK RD,CHARLOTTE,NC,28210,MECKLENBURG,16740,1,2,2,08/01/2019,07/31/2020,144.78,236,10398,40,14640,2,331,236,10398,2,331,,,,,6305267,14693475,64718864,,64718864,,,,,,,64718864,,64718864,48899851,15819013,16168223,-349210,623686,274476,3,274473,
5288,724650,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE,FAYETTEVILLE,NC,28302,CUMBERLAND,22180,2,1,9,10/01/2018,09/30/2019,4150.39,45819,184305,575,208415,10594,35994,28066,151355,10594,35994,13383758,154035979,50847722,61226485,302287217,535126028,1310730455,1072373119,2383103574,58374596,116503,302161652,17904183,4908822,.2255,1405785999,1313494002,2719280001,1962921158,756358843,797536871,-41178028,74213622,33035594,,33035594,.222107
5633,733349,340001,ATRIUM HEALTH CABARRUS,920 CHURCH STREET  NORTH,CONCORD,NC,28025-2927,CABARRUS,16740,1,1,11,01/01/2019,12/31/2019,2525.04,20760,117132,447,163155,5251,26807,13665,99199,5251,26807,29251698,87152823,46788127,47270932,162940246,470049246,1266536940,1341337251,2607874191,40897760,,162920746,10318998,1623088,.0966,1289612205,1321047727,2610659932,1962598203,648061729,499875148,148186581,93979304,242165885,,242165885,.176492
5634,733352,340098,ATRIUM HEALTH PINEVILLE,10628 PARK ROAD,CHARLOTTE,NC,28210-8407,MECKLENBURG,16740,1,1,11,01/01/2019,12/31/2019,1503.11,4224,75245,221,80665,1162,17229,3176,64257,1162,17229,16557047,71642791,28083665,33169541,101160129,305822481,927435136,962819186,1890254322,23022244,,94649526,4693256,431868,.0318,953535419,936737598,1890273017,1405913088,484359929,309649694,174710235,6900941,181611176,,181611176,.156542
5635,733353,340113,CAROLINAS MEDICAL CENTER,1000 BLYTHE BLVD,CHARLOTTE,NC,28232,MECKLENBURG,16740,1,1,11,01/01/2019,12/31/2019,10147.97,88698,331945,1124,410170,14487,61887,43925,208518,14487,61887,107252219,224542007,155883372,157547604,794680511,2012840192,4533609460,4936395676,9470005136,160394586,,795379764,11739085,9086021,.2404,4713197969,4511828895,9225026864,6736064516,2488962348,2385364745,103597603,791225061,894822664,,894822664,.209027
5636,733354,340119,ATRIUM HEALTH STANLY,301 YADKIN STREET,ALBEMARLE,NC,28001,STANLY,16740,1,1,11,01/01/2019,12/31/2019,458.27,2493,13451,97,35405,960,3616,1063,9987,960,3616,5928200,18022836,9241109,10445030,31317872,76622447,162266254,280975402,443241656,9278055,,29040829,1530564,270569,.1071,169184257,274018826,443203083,345577808,97625275,78287102,19338173,9115651,28453824,,28453824,.165595
5637,733355,340130,ATRIUM HEALTH UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,UNION,16740,1,1,11,01/01/2019,12/31/2019,932.99,6536,38639,182,66430,1949,9223,4322,32040,1949,9223,14439062,50463981,23842669,25181489,64430145,193421925,377736787,704796652,1082533439,15795110,,61680167,2036179,798848,.13,377696977,705329354,1083026331,825753318,257273013,197303735,59969278,30122746,90092024,7666151,82425873,.172984
5638,733357,340145,ATRIUM HEALTH LINCOLN,433 MCALISTER ROAD,LINCOLNTON,NC,28092,LINCOLN,16740,1,1,11,01/01/2019,12/31/2019,533.43,3737,19838,101,36865,1236,4804,2666,16363,1236,4804,8180221,28245625,13043758,16337436,34580090,101914928,182913351,448359673,631273024,8696168,,33369653,688642,165637,.1217,192389791,438886476,631276267,480170021,151106246,103335024,47771222,900918,48672140,,48672140,.155996
5639,733358,340166,ATRIUM HEALTH UNIVERSITY CITY,8800 NORTH TRYON STREET,CHARLOTTE,NC,28256-5009,MECKLENBURG,16740,1,1,11,01/01/2019,12/31/2019,810.76,5595,29947,100,36500,1555,7011,3172,22626,1555,7011,15283880,65528869,25250908,28049159,54653302,147894061,268684293,739623085,1008307378,12726275,,51022713,1868966,336706,.12,281626785,729293614,1010920399,783816144,227104255,153514706,73589549,4704040,78293589,11096,78282493,.142234
5792,735929,340024,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN STREET,CLINTON,NC,28328-,SAMPSON,99934,2,1,2,10/01/2018,09/30/2019,432.5,1858,9403,59,21535,874,2808,1063,7320,874,2808,2572384,13138514,5666489,5666489,28130293,41057092,53815632,124562386,178378018,3731118,,28130293,2476128,277805,.1723,51158242,148827254,199985496,136955883,63029613,64422445,-1392832,1940342,547510,,547510,.22312
5974,738074,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DRIVE,LAURINBURG,NC,28352-,SCOTLAND,99934,2,1,2,10/01/2018,09/30/2019,848.64,5095,21744,97,35405,1730,5673,3243,17621,1730,5673,8087033,20979791,14746356,14746356,59060006,128952438,182104162,371956221,554060383,14669927,1846892,59060006,4991112,440124,.12,192994326,392618208,585612534,432099210,153513324,159440457,-5927133,4030775,-1896358,60398,-1956756,.226211
